120,2
85,1.5
100,1.8
75,1.2
110,2.5
95,1.4
130,2.7
80,1.3
115,2.3
90,1.6
105,2.1
70,1.1
125,2.6
87,1.4
103,2.2
78,1.2
117,2.4
92,1.7
107,2.2
73,1.3
122,2.5
83,1.5
98,1.7
77,1.1
112,2.1
88,1.4
127,2.8
82,1.2
118,2.4
93,1.7
108,2.3
72,1.3
123,2.6
86,1.6
101,1.9
76,1.2
111,2.4
96,1.3
131,2.9
81,1.4
116,2.2
91,1.6
106,2.1
71,1.2
126,2.7
84,1.6
99,1.8
74,1.1
109,2.3
94,1.5
119,2.5
89,1.7
104,2.0
69,1.0
124,2.6
87,1.4
103,2.2
78,1.2
117,2.4
92,1.7
107,2.2
73,1.3
122,2.5
83,1.5
98,1.7
77,1.1
112,2.1
88,1.4
127,2.8
82,1.2
118,2.4
93,1.7
108,2.3
72,1.3
123,2.6
86,1.6
101,1.9
76,1.2
111,2.4
96,1.3
131,2.9
81,1.4
116,2.2
91,1.6
106,2.1
71,1.2
126,2.7
84,1.6
99,1.8
74,1.1
109,2.3
94,1.5
119,2.5
89,1.7
104,2.0
69,1.0
125,2.6
87,1.4
103,2.2
78,1.2
117,2.4
92,1.7
107,2.2
73,1.3
122,2.5
83,1.5
98,1.7
77,1.1
112,2.1
88,1.4
127,2.8
82,1.2
118,2.4
93,1.7
108,2.3
72,1.3
123,2.6
86,1.6
101,1.9
76,1.2
111,2.4
